brand, product_price, product_name, shipping_price
yeston,1079,Yeston Radeon RX6700XT 12GB D6 GDDR6 192bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible   RGB light effect Fragrant graphics card,0
MSI,979,MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti VENTUS 3X 8G OC LHR,0
yeston,179,Yeston AMD Video Card Radeon RX550 4G D5 LP Gaming Graphics Card GPU| 4G/128bit/GDDR5 PCI-Express 3.0x8 DirectX 12|DVI+HDMI+VGA Desktop Graphics Card (HTPC ITX is compatible),0
ZOTAC,849.67,ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Advanced Cooling| Active Fan Control| FREEZE Fan Stop ZT-A30610H-10MLHR,0
yeston,189,Yeston Radeon RX550 4GB GDDR5 1183MHz 512processors PCIExpress 3.0 DirectX12 Single Slot DP+HDMI compatible +DVI-D graphics card of Desktop,0
VisionTek,136.23,VisionTek Products 900942 Radeon 7750 SFF 2GB GDDR5 2X DP Graphics Card,0
XFX,1699.99,XFX BC160 graphics card(10/box combination set)| 8GB 2048bit HBM2| computing power 72MH/s professional mining graphics card| can also mine ETC| ZIL| ERGO,0
yeston,1549,Yeston Radeon RX6800XT 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 2*DP+1*HDMI-compatible +1*Type c  RGB light effect Fragrant graphics card,0
GIGABYTE,1799.99,GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G (rev. 2.0) Graphics Card| WATERFORCE Water Block Cooling System| 10GB 320-bit GDDR6X| GV-N3080AORUSX WB-10GD Rev2.0 Video Card (LHR),105
GIGABYTE,695,GIGABYTE Geforce RTX 2060 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card,0
NVIDIA,1240,NVIDIA GeForce RTX 2070 Super 8GB GDDR6 PCI Express 3.0 Graphics Card - Black/Silver|900-1G180-2510-000,0
yeston,749,Yeston Radeon RX6600XT 8GB D6 GDDR6 128bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible  graphics card,0
yeston,1129,"Colorful GeForce RTX 3070 8G V2 LHR Video Card PCI Express 4.0 Nvidia Graphics Card GPU Video Cards for Desktop Graphics Cards	R",4.86
Corn Electronics,171.99,CORN GTX750Ti 2GB 128Bit GDDR5 Graphic Card Video Card GPU DirectX 12 PCI Express3.0 x16 DVI-D/VGA/HDMI,0
NULL,119.99,LISM GTX 1050 2GB GDDR5 PCI Express 3.0 x16 low profile video card DVI/VGA/HDMI (office graphics card),0
ASUS,54.89,ASUS GeForce GT 710 1GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-1GD5-BRK),0
DELL,19.15,Dell NVIDIA Quadro NVS 295 256MB GDDR3 SDRAM PCI Express X16 Video Graphic Card X175K 0X175K CN-0X175K,0
ASUS,88,ASUS GeForce GT 710 2GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-2GD5-CSM),0
GIGABYTE,3449.09,GIGABYTE AORUS GeForce RTX 3090 XTREME WATERFORCE 24G Graphics Card| WATERFORCE All-in-One Cooling System| 24GB 384-bit GDDR6X| GV-N3090AORUSX W-24GD Video Card,49.99
Corn Electronics,109.49,CORN GTX750 Graphic Card 1GB 128 Bit DDR5 DirectX 12 Video Card GPU PCI Express3.0 16X DVI/VGA/HDMI,0
GIGABYTE,374.25,GIGABYTE GeForce GTX 1650 OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR5| GV-N1650OC-4GD Video Card,0
ASUS,1055.39,ASUS ROG STRIX Radeon RX 6700 XT OC Edition Gaming Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6| HDMI 2.1| DisplayPort 1.4a| Axial-tech Fan Design| 2.9-slot| Super Alloy Power II| GPU Tweak II),49.99
NULL,699.99,GIGABYTE Geforce RTX 2060 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR| GV-N2060D6-6GD Video Card,0
ASUS,299.29,ASUS Cerberus GeForce GTX 1050 Ti 4GB GDDR5 Gaming Graphics Card| CERBERUS-GTX1050TI-A4G,0
MSI,348.24,MSI GeForce GTX 1650 D6 VENTUS XS OC Graphics Card| PCI-E| VR & 4K HDR Ready Video Card,49.99
GIGABYTE,1419.99,GIGABYTE AORUS Radeon RX 6800 XT MASTER 16G Graphics Card| MAX-COVERED Cooling| 16GB 256-bit GDDR6| GV-R68XTAORUS M-16GD Video Card,9.99
ASUS,74.95,ASUS NVIDIA GeForce GT 710 Graphics Card (PCIe 2.0| 2GB GDDR5 Memory| 4 x HDMI Ports| Single-slot Design| Passive Cooling),49.99
EVGA,844.99,EVGA GeForce RTX 3060 12GB XC GAMING GDDR6 Video Graphics Card GPU,0
NULL,79.99,Graphics Card HD6770 4G DDR5 High Definition Desktop Computer Graphics Card Game Discrete Graphics Card,0
yeston,149,Yeston GeForce GT 1030 4GB DDR4 LP Graphics cards Nvidia pci express 3.0 Included Low Profile Bracket Single slot graphics card Desktop computer PC video gaming graphics card,0
XFX,714.51,XFX SPEEDSTER QICK308 RADEON RX 6600 XT BLACK Gaming Graphics Card with 8GB GDDR6 HDMI 3xDP| AMD RDNA 2 (RX-66XT8LBDQ),49.99
DELL,32.99,Genuine DELL FirePro V4900 1GB 128-bit GDDR5 PCI-E Video Graphics Card 1T90P 01T90P CN-01T90P,0
GIGABYTE,664.95,GIGABYTE Geforce RTX 2060 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR| GV-N2060D6-6GD Video Card,49.99
NVIDIA,504,Nvidia Geforce GTX 770 2GB GDDR5 PCIe Video Graphics Card CRVMW,0
NVIDIA,57.99,Dell Nvidia Quadro K420 1GB DDR3 PCI-E x16 Video Graphics Card 14PHT 014PHT PKPJT,0
MSI,949,MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti VENTUS 2X 8G OCV1 LHR,0
GIGABYTE,919.99,GIGABYTE Radeon RX 6700 XT EAGLE OC 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTEAGLE OC-12GD Video Card,9.99
MSI,64.7,MSI GAMING GeForce GT 710 1GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Heat Sink Low Profile Graphics Card (GT 710 1GD3H LP),0
